JobTitle,CompanyURL2,CompanyId,CompanyName,SalaryInsights,NoOfApplicants,CompanyLocation,EmploymentStatus,ExperienceLevel,Industries,Benefits,JobPostingUrl,PostedDate
Software Engineer for Training AI Data (Python),https://www.linkedin.com/company/g2i-inc,7790167.0,G2i Inc.,,17.0,United Kingdom,Contract,Entry level,Software Development,,https://www.linkedin.com/jobs/view/4125825157/?trk=jobs_biz_prem_srch,2025-01-16 08:55:34+00:00
Senior Software Data Engineer,https://www.linkedin.com/company/mcgregor-boyall,23702.0,McGregor Boyall,,15.0,"London, England, United Kingdom",Full-time,Mid-Senior level,Financial Services,,https://www.linkedin.com/jobs/view/4125835099/?trk=jobs_biz_prem_srch,2025-01-16 11:04:01+00:00
Oracle PL/SQL Database Engineer,https://www.linkedin.com/company/future-publishing,163920.0,Future,,3.0,"London, England, United Kingdom",Full-time,Mid-Senior level,"Technology, Information and Internet",,https://www.linkedin.com/jobs/view/4125921753/?trk=jobs_biz_prem_srch,2025-01-16 11:30:58+00:00
Database Developer - AI Trainer - Remote,https://www.linkedin.com/company/remoteworkeruk,42317435.0,RemoteWorker UK,,,United Kingdom,Full-time,Entry level,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/4125930586/?trk=jobs_biz_prem_srch,2025-01-16 12:59:36+00:00
Data Engineer,https://www.linkedin.com/company/emperialondon,29365590.0,Emperia,,18.0,United Kingdom,Full-time,,,,https://www.linkedin.com/jobs/view/4127510515/?trk=jobs_biz_prem_srch,2025-01-16 11:32:07+00:00
SC Data Engineer - AWS,https://www.linkedin.com/company/free-work-uk,97189601.0,Free-Work UK,,4.0,"London, England, United Kingdom",Full-time,Entry level,Human Resources Services,,https://www.linkedin.com/jobs/view/4125669173/?trk=jobs_biz_prem_srch,2025-01-16 04:02:56+00:00
Lead AWS Data Engineer,https://www.linkedin.com/company/athsai,19779680.0,Athsai,,22.0,"England, United Kingdom",Contract,Associate,"IT Services and IT Consulting, IT System Data Services, Data Infrastructure and Analytics",,https://www.linkedin.com/jobs/view/4127190706/?trk=jobs_biz_prem_srch,2025-01-16 09:33:39+00:00
Data Engineer (Snowflake),,,,,14.0,"City Of London, England, United Kingdom",Full-time,Entry level,IT Services and IT Consulting,,https://www.linkedin.com/jobs/view/4124307252/?trk=jobs_biz_prem_srch,2025-01-15 15:15:42+00:00
Senior Data Engineer,https://www.linkedin.com/company/spotify,207470.0,Spotify,,1475.0,"London, England, United Kingdom",Full-time,Mid-Senior level,Musicians,,https://www.linkedin.com/jobs/view/3965974943/?trk=jobs_biz_prem_srch,2025-01-16 10:02:48+00:00
"Lead Data Engineer - Hybrid/London - £115,000  Bonus",https://www.linkedin.com/company/tenthrevolution,34947348.0,Tenth Revolution Group,,3.0,"London, England, United Kingdom",Full-time,Mid-Senior level,Staffing and Recruiting,,https://www.linkedin.com/jobs/view/4127149272/?trk=jobs_biz_prem_srch,2025-01-16 07:54:12+00:00
